feature	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
K04066	6629.63452380952	6343.0803030303	5325.23387445887	7267.92893217893	7380.6869047619	8607.83571428571	17215.3892857143	41041.6611111111	5627.74365079365	8034.22579365079	4964.06666666667	8645.92579365079
K04067	35.9761904761905	22.4166666666667	92.9285714285714	244.464285714286	88.5952380952381	132.327380952381	0.464285714285714	22.8333333333333	167.571428571429	262.386904761905	657.916666666667	325.511904761905
K04068	4836.50674603175	4227.5803030303	3562.04220779221	4834.45670995671	6342.43412698413	8099.42738095238	1559.58928571429	2989.02777777778	1753.95476190476	3559.95912698413	3933.65	4731.28412698413
K04069	8127.34206349206	7492.03506493506	5140.45054112554	9215.23448773449	9510.01746031746	10468.2793650794	1545.45595238095	4398.02777777778	2568.43253968254	5543.0496031746	5580.40833333333	7511.55912698413
K04070	13.375	10.875	5.5	24.1666666666667	4.875	22.1666666666667	0	9	12.25	29.5	29.25	40.4166666666667
K04072	3880.94365079365	3329.65728715729	3073.63308080808	2633.43686868687	3877.28333333333	5190.8880952381	1459.18611111111	2650.33333333333	1080.75555555556	2352.90714285714	1842.625	2398.50277777778
K04073	0	0	0	0	0	0	63.2	107.2	0	2	0	0
K04074	4033.81388888889	3407.62196969697	3179.82196969697	2640.88131313131	4054.175	5728.54722222222	1532.275	2869.63611111111	1064.9	2390.83888888889	1853.95	2416.09722222222
K04075	6179.40119047619	5977.04696969697	5280.74220779221	7142.30393217893	7354.02857142857	8563.11904761905	17208.7642857143	40849.4277777778	8515.77698412698	8875.29246031746	5039.35833333333	9915.65912698413
K04076	0	0.863636363636364	0.988636363636364	0.909090909090909	1.31944444444444	1.125	0	0	0	0	0	1.95833333333333
K04077	7841.40119047619	8002.3803030303	6965.43387445887	8532.76226551227	8085.62023809524	8794.26904761905	17543.7226190476	41355.1944444444	9357.87698412698	9542.92579365079	5525	9390.65912698413
K04078	6629.63452380952	6343.0803030303	5325.23387445887	7267.92893217893	7380.6869047619	8607.83571428571	17255.7892857143	41041.6611111111	7719.94365079365	8116.62579365079	4964.06666666667	8645.92579365079
K04079	309.572619047619	272.171428571429	180.445238095238	1585.54761904762	1548.26468253968	919.365476190476	14683.830952381	37646.25	3310.45476190476	1788.11071428571	1159.89166666667	1312.52857142857
K04080	15.315873015873	7.15476190476191	0	11.3888888888889	0	3.49642857142857	9429.16666666667	1.16666666666667	3034.63888888889	1125.06547619048	0	0
K04081	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	0	0	29.25	0.982142857142857	0	0
K04082	52.9428571428571	26.4166666666667	145.928571428571	709.047619047619	111.345238095238	169.627380952381	8609.13095238095	64.75	2707.12142857143	3029.57023809524	915.166666666667	3017.7619047619
K04083	4644.31785714286	4044.17196969697	3528.13387445887	4048.8455988456	4906.1869047619	7379.65238095238	10971.005952381	2982.67777777778	6247.62698412698	5992.15079365079	3730.80833333333	6548.39246031746
K04084	271.52619047619	204.125	186.095238095238	1986.13095238095	1560.84523809524	914.877380952381	15733.580952381	37604	6976.10476190476	3468.57857142857	1301.29166666667	3863.92857142857
K04085	45.3039682539683	27.25	92.9285714285714	255.019841269841	88.5952380952381	133.877380952381	17835.3476190476	25.1666666666667	3172.62698412698	1388.97023809524	657.916666666667	325.511904761905
K04086	5029.37222222222	4181.83333333333	3809.78333333333	3403.36111111111	5990.17222222222	7314.81666666667	1699.28333333333	2884.86111111111	1329.95	2901.93888888889	2389.25	3591.48888888889
K04087	52.2706349206349	33.25	97.5535714285714	265.853174603175	89.4702380952381	137.802380952381	447.264285714286	28.8333333333333	5741.29365079365	2424.30357142857	668.916666666667	359.136904761905
K04088	51.3039682539683	33.25	97.5535714285714	265.019841269841	89.4702380952381	137.502380952381	447.264285714286	28.8333333333333	3172.62698412698	1391.47023809524	668.916666666667	359.136904761905
K04090	13.1111111111111	7.33333333333333	0	15.5555555555556	0	2	8639.76666666667	54.7666666666667	11.5555555555556	3.5	0	0
K04091	9.93809523809524	3.93506493506493	0.363636363636364	5.49242424242424	0.444444444444444	3.52142857142857	9843.98333333333	215.566666666667	4959.73333333333	1877.03214285714	0	1.33333333333333
K04092	1889.61111111111	2177.04444444444	1863.22222222222	1946.94444444444	1197.78888888889	1003.56666666667	735.222222222222	707.411111111111	1409	1953.88888888889	885.666666666667	1244.61111111111
K04093	33.3666666666667	23.6	9.6	17.8333333333333	0.6	4.5	31.6	55.4	2570.06666666667	1040.43333333333	7.8	9.2
K04094	4573.85833333333	3982.97196969697	3348.83863636364	3167.79797979798	4793.69166666667	7202.99166666667	2244.475	2908.66111111111	1265.75555555556	2731.91388888889	2261.675	3349.11388888889
K04095	5467.60952380952	6420.8303030303	5333.13387445887	5850.9705988456	4317.5119047619	2044.81904761905	9319.13095238095	1682.975	5844.94642857143	7264.9369047619	3332.475	6308.10357142857
K04096	7166.01785714286	6910.04696969697	5491.95054112554	7851.17893217893	8115.82023809524	10080.2523809524	17204.7226190476	41072.1944444444	7892.01031746032	8447.05912698413	5363.7	9596.14246031746
K04098	0	1.2	0	0	0.8	2.8	0	0	0	0	0	0
K04100	0	0	0	0	0	0	207	0	0	0	0	0
K04101	0	0	0	0	0	0	207	0	0	0	0	0
K04102	0.666666666666667	0.5	0	0.833333333333333	0	0	0	0	0.333333333333333	0	0	0
K04103	4.32142857142857	1.57142857142857	0	0	0	1.57142857142857	0	0	0	0.982142857142857	0	0
K04105	5.66666666666667	3	0	6.66666666666667	0	1	0	0	5.33333333333333	0	0	0
K04110	0	0	0	0	0	0	69	0	0	0	0	0
K04127	0	0	0	0	0	0	0	0	0	4.5	0	2
K04333	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	0	0	29.25	0.982142857142857	0	0
K04334	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	40.4	0	29.25	0.982142857142857	0	0
K04335	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	0	0	29.25	0.982142857142857	0	0
K04336	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	0	0	29.25	0.982142857142857	0	0
K04337	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	0	0	29.25	0.982142857142857	0	0
K04338	5.32142857142857	1.82142857142857	4	0	0	1.94642857142857	5908	37461	38.25	0.982142857142857	0	0
K04343	1.58333333333333	0.85	0	0.416666666666667	0.4	2.025	398.8	0	2617.11666666667	627.316666666667	0	0
K04477	12.375	11.475	4.25	15	1.525	17.025	31.6	53.6	41.75	14.875	18.75	51.75
K04485	6634.88452380952	6351.8303030303	5325.23387445887	7262.51226551227	7377.6869047619	8605.16904761905	17215.3892857143	41041.6611111111	7723.44365079365	8121.12579365079	4964.06666666667	8646.75912698413
K04486	2842.56388888889	2094.18863636364	2191.81363636364	1825.49242424242	3729.89166666667	6278.18055555555	1492.25833333333	2084.01944444444	770.2	2216.88888888889	1688.95	2408.16388888889
K04487	10440.7567460317	9312.43257575758	8838.32781385281	8594.49711399711	10470.773015873	12251.269047619	18655.130952381	43853.1888888889	11833.3103174603	11393.3146825397	6798.23333333333	9794.08134920635
K04488	6405.19007936508	6166.28863636364	5299.31720779221	6003.06782106782	5931.1869047619	7861.58571428571	10412.4726190476	3502.41111111111	7632.55476190476	7851.16746031746	4576.94166666667	7797.75912698413
K04516	4159.33888888889	3662.64166666667	3049.25	3850.66666666667	4557.85555555556	6566.00555555555	6727.13333333333	40438.5111111111	1193.4	2730.21388888889	2336.825	3411.63888888889
K04517	5817.54722222222	5518.98863636364	4962.29696969697	4809.36742424242	5089.21666666667	6218.26388888889	7379.91666666667	40949.2277777778	3278.23333333333	5097.28055555556	2827.58333333333	4988.38055555556
K04518	5859.825	5611.96363636364	4938.2553030303	4742.63131313131	5558.74166666667	6746.41388888889	7950.39166666667	40853.8777777778	2473.70555555556	4299.32222222222	2741.83333333333	3700.21388888889
K04561	2216.11666666667	2578.18333333333	1894.14166666667	2546.79166666667	1488.80833333333	1735.5	608.841666666667	548.133333333333	3091.7	2784.61666666667	1144.34166666667	3216.45
K04562	30.925	21.7083333333333	13.7916666666667	41.6666666666667	4.19444444444444	23.675	105	43	3004.58333333333	1153.41666666667	40.75	85.875
K04564	6408.70952380952	6127.95757575758	5260.56948051948	6118.66378066378	5925.86468253968	7834.69126984127	32098.505952381	78556.0277777778	10664.5603174603	8915.21746031746	4526.84166666667	7795.28412698413
K04565	54.7214285714286	38.8683982683983	70.005303030303	494.159090909091	24.6694444444444	39.0630952380952	15146.7166666667	37590.5666666667	1642.73333333333	1750.74880952381	313.383333333333	2750.825
K04566	14.1111111111111	10.3333333333333	2	19.7222222222222	0	3.5	504	4	6.55555555555556	7.5	11	25
K04567	7681.59007936508	7858.34696969697	6926.50054112554	8211.87337662338	7803.95357142857	8548.53571428571	16999.3226190476	41346.3944444444	8922.45476190476	9113.05912698413	5261.2	8965.79246031746
K04568	43.7539682539683	29.25	94.9285714285714	256.686507936508	88.5952380952381	134.827380952381	8858.18095238095	28	168.460317460317	272.386904761905	668.916666666667	350.511904761905
K04651	573.45753968254	572.213095238095	159.516666666667	543.805555555556	740.475	1494.72976190476	37.6	107.65	192.288888888889	294.74880952381	425.883333333333	1033.03333333333
K04652	573.45753968254	572.213095238095	159.516666666667	543.805555555556	740.475	1494.72976190476	37.6	107.65	192.288888888889	290.24880952381	425.883333333333	1031.03333333333
K04653	632.290079365079	612.241666666667	260.045238095238	794.15873015873	829.670238095238	1626.14404761905	69.6642857142857	181.883333333333	331.23253968254	553.920238095238	1034.26666666667	1279.74523809524
K04654	567.45753968254	566.713095238095	157.516666666667	533.805555555556	740.475	1492.22976190476	37.6	103.65	192.288888888889	282.74880952381	414.883333333333	1006.03333333333
K04655	567.45753968254	567.076731601732	157.880303030303	534.714646464646	740.475	1492.22976190476	37.6	103.65	192.288888888889	282.74880952381	414.883333333333	1006.03333333333
K04656	567.45753968254	567.076731601732	157.880303030303	534.714646464646	740.475	1492.22976190476	37.6	103.65	192.288888888889	282.74880952381	414.883333333333	1006.03333333333
K04691	37.1928571428571	22.4166666666667	92.9285714285714	245.297619047619	88.5952380952381	132.877380952381	8539.38095238095	24	3166.07142857143	1386.47023809524	657.916666666667	325.511904761905
