"Pathway"	"S1A"	"S1B"	"S2A"	"S2B"	"S3A"	"S3B"	"S4A"	"S4B"	"S5A"	"S5B"	"S6A"	"S6B"
"ko00625"	11293.071031746	10692.5337301587	9599.10079365079	9985.71428571429	10061.1035714286	12883.8277777778	46294.2531746032	82722.8611111111	26027.5603174603	18502.0472222222	7371.53333333333	12743.7896825397
"ko00626"	10696.8071428571	10342.6738816739	9036.95761183261	9438.47438672439	8826.91746031746	12699.9777777778	31000.5281746032	7486.26111111111	15108.5325396825	13672.2555555556	6524.275	12126.9813492063
"ko00627"	12967.8126984127	10998.0445165945	10738.4595959596	8978.09343434343	13155.4444444444	16364.9876984127	18671.2777777778	9885.48055555556	41727.1166666667	22593.0134920635	6426.54166666667	10897.3388888889
"ko00630"	62347.5599206349	60941.6265151515	48181.4979437229	79397.0117243867	74913.4964285714	86225.6531746032	373954.994047619	781534.544444444	208605.781349206	134301.83531746	51672.85	107263.53531746
"ko00633"	1670.4873015873	1686.12316017316	470.480303030303	1635.88131313131	2224.7	4467.76785714286	21196.1166666667	75128.7166666667	8693.88888888889	3206.14761904762	1168.68333333333	2987.9
"ko00640"	76928.6583333333	74174.6285714286	60532.8726190476	81385.8015873016	77544.3976190476	100162.176984127	354571.548809524	645467.377777778	192382.224603175	135833.396031746	56077.6833333333	114217.886507937
"ko00642"	13.0761904761905	5.10649350649351	4.98863636363636	2.57575757575758	1.71944444444444	7.51785714285714	15202.1166666667	37837.3666666667	3972.3	2172.23095238095	0	1.95833333333333
"ko00643"	3449.07222222222	1892.40404040404	2871.87626262626	1125.78787878788	5162.23333333333	8361.45277777778	43551.1277777778	79129.5694444445	28038.8111111111	13699.5305555556	1518.075	1644.91666666667
"ko00650"	64699.676984127	63193.9879148629	49383.5101370851	70613.0918109668	68616.9174603175	82800.730952381	296951.492063492	599441.691666667	165637.201984127	106401.371428571	43017.25	82391.5146825397
"ko00660"	39746.0765873016	39354.7726190476	33490.9285714286	39284.7420634921	34120.1591269841	50994.5388888889	89097.6642857143	98807.9611111111	57522.3158730159	58694.9138888889	26496.6166666667	49628.4841269841
"ko00670"	75114.0698412698	72973.312987013	59844.2796536797	84460.3638167388	83635.1773809524	92474.003968254	205285.617857143	489286.869444444	103104.664285714	93587.7281746032	54287.15	92650.3912698413
"ko00680"	75098.6091269841	70781.5093073593	59332.3343073593	88462.2831890332	87810.2825396825	99446.2079365079	277898.519047619	565978.955555556	121721.967460317	111317.656349206	61361.95	110868.715873016
