OTU,X16S_K0010A2.S1.L001,X16S_K0011C1.S2.L001,X16S_K0011C2.S3.L001,X16S_K0033C1.S4.L001,X16S_K0033C2.S5.L001,X16S_K0145B1.S6.L001,X16S_K0147C2.S7.L001,X16S_K0148A1.S8.L001,X16S_K0154C1.S9.L001,X16S_K0154C2.S10.L001,X16S_K0191C1.S11.L001,X16S_K0192B2.S12.L001,X16S_K0192C1.S13.L001,X16S_K0195C1.S14.L001
forward_16S_144,0.3,9.9,0.4,0.0,0.0,0.0,0.5,0.7,1.5,0.9,0.0,0.0,0.0,0.8
forward_16S_145,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_146,5.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,4.7,0.0,2.3,0.0,0.0,3.1
forward_16S_147,2.4,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,2.0,4.7,0.5,0.0
forward_16S_148,0.7,0.2,1.1,0.3,2.4,0.0,0.0,0.0,1.0,1.9,2.8,1.9,2.1,0.6
forward_16S_149,0.4,0.0,0.0,3.4,0.0,0.0,3.4,0.0,0.7,0.0,1.8,0.0,0.8,0.0
forward_16S_150,0.4,0.9,0.3,0.0,0.0,0.0,0.0,2.4,0.0,0.9,0.0,0.0,0.0,15.1
forward_16S_151,0.1,5.7,0.2,0.7,0.0,0.0,0.4,2.1,0.7,3.7,0.0,0.0,0.0,0.5
forward_16S_152,0.0,0.0,0.0,2.8,0.0,0.0,3.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_153,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_154,1.8,0.0,1.3,0.0,0.7,6.3,0.0,0.0,0.0,0.0,2.6,1.3,0.9,0.0
forward_16S_155,2.3,2.0,0.0,0.5,0.0,0.0,0.0,4.6,1.5,5.9,0.0,0.0,0.0,1.8
forward_16S_156,0.9,0.0,2.1,2.2,0.0,0.0,1.5,0.0,0.0,0.0,1.8,1.0,1.0,0.0
forward_16S_157,1.3,0.6,0.6,4.1,0.0,0.0,0.4,0.0,0.7,0.9,0.7,0.8,0.0,4.0
forward_16S_158,0.9,0.0,1.2,0.0,2.5,0.0,1.6,0.0,0.0,0.0,1.0,0.6,3.8,0.0
forward_16S_159,0.4,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
forward_16S_160,0.5,0.0,0.6,0.0,1.3,6.7,0.0,0.0,0.0,0.0,1.9,0.6,1.3,0.9
forward_16S_161,0.0,1.1,0.3,2.9,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.7,0.9,0.0
forward_16S_162,0.7,0.3,0.3,1.3,0.0,0.0,4.2,0.3,0.0,1.8,0.8,1.3,0.0,0.0
forward_16S_163,0.2,0.3,7.0,0.0,0.0,0.0,0.3,0.0,0.3,0.9,0.7,1.6,0.0,0.0
forward_16S_164,0.3,0.0,0.2,0.8,1.4,0.8,0.5,0.0,0.0,0.0,0.0,4.7,0.0,5.1
forward_16S_165,0.0,3.8,0.0,0.0,0.0,0.0,0.0,6.3,3.5,0.0,0.0,0.0,0.0,0.0
forward_16S_166,3.3,0.3,1.1,1.0,0.4,0.0,0.9,0.8,2.0,0.9,1.7,0.5,0.0,0.7
forward_16S_167,0.8,2.1,0.4,1.7,0.0,0.0,0.3,0.5,3.0,3.5,0.0,0.0,0.7,2.5
forward_16S_168,0.5,4.9,0.3,1.2,0.0,0.0,0.5,1.7,1.9,3.3,0.0,0.0,0.0,1.8
forward_16S_169,0.2,7.1,0.4,0.0,0.0,0.3,0.2,2.9,1.8,0.7,0.0,0.0,0.0,0.6
forward_16S_170,0.0,0.2,0.0,0.0,0.0,0.0,3.6,0.0,0.0,1.8,0.0,0.0,0.0,0.0
forward_16S_171,0.0,0.0,0.9,0.5,0.0,0.0,3.5,0.0,0.0,0.0,2.1,0.0,0.0,0.0
forward_16S_172,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_173,1.0,0.0,0.0,0.6,0.2,0.0,3.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_174,0.2,1.7,0.4,0.3,0.0,0.0,1.2,2.2,1.7,0.0,1.6,0.0,0.8,2.3
forward_16S_175,0.0,5.4,0.0,0.0,0.0,0.0,0.0,3.8,0.0,2.9,0.0,0.0,0.0,3.7
forward_16S_176,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,7.7,0.0,0.0,0.0,13.8
forward_16S_177,0.0,0.4,1.3,2.5,0.0,0.0,1.3,0.3,0.8,0.0,0.8,0.0,2.7,0.5
forward_16S_178,2.0,0.0,0.9,0.0,2.8,2.3,0.0,0.0,0.6,0.9,1.5,0.0,1.7,0.0
forward_16S_179,1.3,0.0,0.0,0.4,0.0,0.0,2.0,0.0,0.0,1.6,0.9,0.0,0.6,0.0
forward_16S_180,0.6,1.6,0.1,0.5,0.0,0.0,0.3,5.9,3.2,0.0,0.9,0.0,0.0,2.0
forward_16S_181,0.3,0.0,1.6,1.2,0.9,0.0,1.5,0.6,0.9,0.9,0.6,0.0,0.0,0.4
forward_16S_182,1.7,1.6,1.1,0.4,0.0,0.0,0.8,1.1,0.8,3.5,0.0,0.0,0.0,0.7
forward_16S_183,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.6
forward_16S_184,1.5,0.0,4.9,0.0,0.2,0.3,0.0,0.0,0.8,1.0,3.4,3.4,0.0,0.0
forward_16S_185,1.0,0.0,3.0,0.0,0.0,0.0,1.5,0.0,1.3,0.0,0.9,0.0,3.6,0.6
forward_16S_186,1.4,2.0,0.3,3.4,0.0,0.0,0.8,0.4,0.9,0.0,0.0,0.0,0.0,1.6
forward_16S_187,0.4,0.0,0.0,1.6,0.0,0.0,2.9,0.3,0.0,0.0,0.0,0.0,0.8,0.0
forward_16S_188,0.0,3.5,0.0,1.0,0.0,0.0,1.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0
