"feature"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"K02201"	258.5	13.5	310.5	16.5	191	33	51.5	0	66.5	71	219	278.5	77.5	12.5
"K02203"	55.0428571428571	21.0083333333333	31.9277777777778	53.7555555555556	153.299603174603	156.029365079365	28.0583333333333	77.6904761904762	50.3555555555556	42.0083333333333	86.0305555555556	130.961904761905	14.8055555555556	88.4638888888889
"K02204"	746.889357864358	1747.62813852814	540.711652236652	772.140873015873	488.358874458874	617.232683982684	476.675541125541	2192.32860750361	1613.70367965368	1800.32380952381	967.012878787879	753.300577200577	424.71066017316	828.820274170274
"K02205"	1.99350649350649	1.4	0.348484848484849	2.64177489177489	1.31428571428571	1.72380952380952	6.07532467532467	6.83326118326118	12.138961038961	0.428571428571429	5.11818181818182	0.428571428571429	4.79220779220779	2.15714285714286
"K02217"	922.031746031746	115.006493506493	777.361111111111	463.840187590188	1062.21111111111	576.457142857143	342.729485329485	76.530303030303	223.31746031746	286.296536796537	1051.72424242424	1221.2373015873	383.335497835498	103.785714285714
"K02221"	1091.12236652237	2109.14852092352	880.635894660895	1284.91767676768	873.968795093795	1261.45153318903	1019.32926887927	2321.26231962482	1877.67922077922	2258.1759018759	1428.55101010101	1106.94621212121	655.021158008658	1000.82146464646
"K02224"	704.159812409812	1038.84126984127	749.07895021645	684.159848484848	623.707683982684	644.525342712843	471.10986050986	403.273124098124	610.033676046176	999.588888888889	835.523232323232	829.527561327561	396.846158008658	508.071464646465
"K02225"	395.957611832612	914.88924963925	308.272763347763	388.88253968254	393.21562049062	674.842604617605	248.78943001443	875.081782106782	754.162012987013	911.819047619048	449.235101010101	452.144227994228	283.95946969697	490.891702741703
"K02226"	405.569841269841	1096.64177489177	292.21948051948	503.618434343434	377.807936507937	421.874603174603	325.618698893699	1008.33492063492	780.393650793651	1112.37272727273	479.788131313131	488.784126984127	247.135497835498	501.055555555556
"K02227"	1260.6595959596	2696.30526695527	1035.53252164502	1162.0731962482	868.916017316017	1033.91581890332	817.616462241462	3033.37117604618	2298.06538600289	2723.06875901876	1449.03434343434	1243.00613275613	555.786435786436	1164.76194083694
"K02228"	198.433333333333	322.497222222222	240.568055555556	352.119444444444	242.9	395.872817460317	210.844444444444	130.680952380952	239.343055555556	359.325	296.888888888889	247.181349206349	212.825	299.783333333333
"K02229"	232.415151515152	432.729924242424	264.387247474747	404.279166666667	258.768795093795	453.915025252525	245.45946969697	147.462734487734	271.114195526696	424.488888888889	340.264267676768	268.794227994228	234.364826839827	316.463131313131
"K02230"	402.740151515152	746.182305194805	380.847763347763	572.69503968254	414.886255411255	596.17812049062	363.971374458874	299.731782106782	451.45367965368	808.407936507936	508.033712121212	440.060894660895	290.702326839827	464.145274170274
"K02231"	603.776659451659	1461.75010822511	551.049783549784	907.507323232323	642.706096681097	968.754310966811	600.337890812891	1066.63466810967	1006.58304473304	1521.94137806638	821.837121212121	784.558910533911	384.521158008658	673.183369408369
"K02232"	1044.66158008658	1885.93697691198	922.445616883117	975.071212121212	905.063239538239	1087.69756493506	695.629557479557	2210.73297258297	1758.50665584416	2026.03661616162	1219.43434343434	1139.09978354978	538.937824675325	876.671464646465
"K02233"	882.409992784993	1474.98621933622	888.534505772006	962.587878787879	851.824350649351	1048.21542207792	691.574001924002	1098.34855699856	1081.84832251082	1591.09137806638	1052.46212121212	1085.31724386724	464.264015151515	711.900036075036
"K02234"	304.392929292929	613.24797979798	269.594191919192	411.477777777778	286.169985569986	434.001731601732	241.044191919192	231.896067821068	337.215584415584	597.616666666667	371.24898989899	297.744227994228	256.68446969697	351.50955988456
"K02236"	6.3524531024531	1.02272727272727	0.215909090909091	6.09902597402597	0.208333333333333	0.547619047619048	34.4825156325156	13.8871753246753	23.6699855699856	1.61201298701299	4.69772727272727	0.25	7.04383116883117	4.14285714285714
"K02237"	2603.68625541126	1123.10963203463	1993.21783910534	1978.58156565657	3010.04062049062	2127.37931096681	1536.04593554594	536.542875180375	1049.13060966811	1216.82034632035	3319.39545454545	3448.37676767677	1306.06282467532	704.045670995671
"K02238"	1801.72640692641	2231.80685425685	1372.14397546898	1759.30101010101	1735.01893939394	1639.37905844156	1352.54290524291	2413.30333694084	2069.28528138528	2695.27312409812	2320.88484848485	2118.07575757576	1000.88479437229	1089.95046897547
