"Pathway"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"ko00404"	2083.87341269841	3586.10357142857	1172.5873015873	1741.14047619048	2209.99642857143	2055.49246031746	1098.78174603175	6474.59365079365	4216.19444444444	4241.0869047619	2715.79166666667	2420.43611111111	1114.7748015873	1878.73333333333
"ko00405"	4726.79675324675	5221.46957070707	3940.70247113997	4402.70229076479	4685.94343434343	4948.32398989899	3238.09992183742	5042.97698412698	4674.42133838384	6304.5794011544	6090.84305555556	5831.39397546898	2665.86661255411	2660.33189033189
"ko00410"	24485.0887806638	32733.3058982684	19410.9234487735	22331.2113095238	23441.9101370851	27991.4869227994	18526.0187289562	38799.8161075036	32601.3806637807	36966.5686147186	30278.393452381	27653.4528499278	15155.3077922078	16965.5391414141
"ko00430"	14573.7892857143	15116.0289321789	11031.3243326118	12716.035966811	14784.578030303	14377.7038239538	9912.15258537759	17649.0320526696	15496.1323051948	17694.1920995671	18363.8351010101	17351.449025974	8557.28035714286	7975.12774170274
"ko00440"	5429.4009018759	7111.62308802309	4848.91664862915	6474.6347041847	5733.56096681097	6323.30402236652	3914.58767436267	3844.02523448773	4708.11913780664	7626.28174603175	7619.04343434343	7010.5652958153	3686.23645382395	3529.35075757576
"ko00450"	30740.7272727273	29367.2499098124	24499.2193362193	26220.8971681097	31685.4854617605	31226.7584776335	20350.715482203	31295.9956890332	29062.9902236652	35403.2335497836	38726.1920454545	37804.0612914863	17420.6709235209	14752.3028138528
"ko00460"	17412.6616161616	17583.3962842713	13573.1455627706	17272.2206529582	17320.9973304473	16167.36002886	12775.8926948052	14613.8579004329	14841.5759559885	21076.475036075	23002.3366161616	20937.1476551227	10352.5941738817	8859.41341991342
"ko00471"	8363.38813131313	10076.0286796537	6667.94411976912	7407.27175324675	7166.29913419913	6983.37770562771	5969.39517797018	11180.1416125541	9740.97723665224	12528.6576839827	10154.9646103896	8983.56002886003	4510.52088744589	5066.02359307359
"ko00472"	701.4556998557	1297.18522727273	606.354545454545	933.495256132756	602.807287157287	758.259668109668	618.939195526695	501.855573593074	669.078391053391	1305.49534632035	1006.44532828283	802.94025974026	438.551515151515	623.209163059163
"ko00473"	5929.02702020202	7070.8159992785	4570.393001443	5656.09496753247	5700.13455988456	5917.57384559885	4462.73954425204	7283.83771645022	6703.95912698413	8285.72572150072	7627.33497474747	6791.00728715729	3508.07438672439	3369.48423520924
"ko00480"	31241.4244949495	47316.1523268398	24386.3448412698	29878.6850468975	29542.3606782107	33033.3426226551	20869.5293590669	53431.8523088023	44428.0277777778	53050.4865800866	39674.4016414141	36196.6891414141	18687.1744408369	23032.4967171717
"ko00500"	40148.816955267	45456.2463564214	32251.7392316017	43805.0176226551	41129.4431096681	44169.1881493507	31280.4595779221	36536.2770923521	39217.3789321789	58702.7699494949	53787.7141414141	49190.574025974	24099.4937409812	23270.1769480519
"ko00510"	3219.27777777778	1053.97876984127	2979.84722222222	2102.26666666667	3345.83412698413	2615.475	1707.15833333333	383.755158730159	1241.45734126984	1863.21111111111	3823.35845959596	4142.85357142857	1495.20119047619	708.523412698413
"ko00511"	6311.84393939394	8090.68091630592	5162.32474747475	8893.97386363636	6144.43943001443	7004.41502525253	6198.53901515151	5747.04983766234	5650.07068903319	12767.0392857143	9574.78838383838	8170.73986291486	3891.11282467532	3412.7547979798
"ko00513"	911.891666666667	1356.42658730159	887.291666666667	1387.66111111111	810.574206349206	1046.84365079365	972.733333333333	814.804761904762	805.839682539682	2345.73531746032	1371.82777777778	1090.63095238095	525.407738095238	596.491666666667
"ko00520"	79291.3129148629	85716.3542207792	60246.6548881674	71322.9077020202	77684.5856421356	75724.0477453103	53250.7856000481	96297.8695707071	84410.5955627706	104370.715512266	101184.110209235	93703.0032828283	43835.4718975469	43227.0021645022
"ko00521"	20860.1818903319	25299.3433982684	16482.1410533911	20662.2881673882	19354.9908730159	19496.6998015873	16012.2387686388	27429.1109848485	24109.9851370851	30472.3075036075	26610.5525252525	23884.8488095238	11416.9363997114	12654.7071428571
"ko00523"	9820.3522005772	12364.8893759019	7788.23692279942	10612.4574314574	9454.67637085137	9360.17775974026	7967.81691919192	11741.196482684	10724.4668831169	14794.6385281385	13054.5215909091	11740.3646103896	5266.48430735931	5845.32077922078
"ko00524"	3335.03308080808	3747.45645743146	2421.49981962482	3094.41966089466	3178.41482683983	3134.40351731602	2555.74597162097	4333.61549422799	3751.69711399711	4448.72709235209	4183.55656565657	3749.5231962482	2017.93306277056	1872.65717893218
"ko00525"	4857.936002886	5399.65045093795	3929.24691558442	5226.25856782107	4595.38203463203	4472.72647907648	4024.66358225108	5225.63724747475	4930.95564574315	6998.08484848485	6540.93017676768	5737.14202741703	2684.56497113997	2647.24967532468
"ko00531"	3051.2183982684	4305.52738095238	2536.08728354978	3946.19137806638	2921.84022366522	3699.42931096681	3068.74087301587	3457.66664862915	3314.30838744589	5830.74365079365	4303.64621212121	3576.5724025974	2141.61482683983	2047.80003607504
"ko00532"	2	0	0	0	4.5	0	0	0	0	2	1.5	0	0	0
"ko00534"	2	0	0	0	4	0	0	0	0	2	0	0	0	0
"ko00540"	31611.0222943723	36742.1253968254	22162.250974026	26371.3035714286	32218.3445887446	30426.4836760462	18126.0691558442	45754.9247474747	35705.3211399711	42451.5678571429	39964.7045454545	39139.0216089466	15815.2406204906	18131.2567821068
"ko00550"	37931.7207070707	45836.7268759019	29320.8134018759	37260.721031746	36526.5506132756	37719.5335497835	28821.4911976912	48573.6216089466	43068.6129329004	55532.7916666667	48684.433982684	44700.2076118326	21390.358008658	22393.6998556999
"ko00561"	20777.7536075036	25067.6937590188	16126.4868145743	20288.1031385281	19870.040981241	21298.3741161616	16205.6786556037	27160.0491161616	23990.0991161616	29408.2782106782	26745.4580808081	23967.7857503607	11928.4741522367	12918.0158008658
"ko00562"	15926.2986291486	22989.1861471861	12236.663510101	14421.4840367965	12745.9802669553	13918.8153860029	11882.7482263107	31405.3427308802	24298.7978354978	27446.4875180375	18836.7952020202	15593.9464646465	8835.38448773449	11718.0983405483
"ko00563"	0.75	0.5	1.75	2.5	12.5	3.75	0.5	0.75	0.75	0	3.5	3.25	0.25	0
"ko00564"	41860.6051226551	47622.1798340548	31650.7787157287	38087.0874098124	41596.9073953824	40255.0423160173	28195.0986531987	53068.3897907648	45785.1533189033	55911.5406926407	53261.3156204906	50251.0589466089	22585.6626443001	23706.0313131313
"ko00565"	1874.33055555556	4102.29484126984	1302.79880952381	1521.5123015873	1157.30079365079	1753.4128968254	1433.30761183261	6331.62658730159	4451.1626984127	4689.83293650794	2018.35984848485	1349.16388888889	1188.58392857143	1727.84642857143
