phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium deserti	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter sp. URHE0039	0	0	0.2	0	0.3	13.8	0.5	0.2	0	0	0	0	0.6	1.7
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. N138	0	0	0	0	0	0	0.3	0	0	0.8	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas aerophila	0	0.6	0	0	0	0	0	0.2	0	0.7	0	0.8	0	0
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicibacter	Tropicibacter sp. AAMART03	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0
Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Ehrlichia sp. EHR62	0	0	0.1	0	0	0.3	0	0	0	0	0	0	0	0
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	unclassified	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. A112B2	0.4	0.5	0.2	0	0	0.2	0	0	0	0	0.6	0.8	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.7
Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Singulisphaera	Singulisphaera sp. Io3-4	0	0.1	0.3	0	0.2	0.3	3.4	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. DAB_ATA9	0	0	0	0	0	0	0.2	0	0.8	0	0	0	0	0
Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp.	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes sp.	0	0.7	0	0	1.4	0	0	0.1	0	0.8	0	0	0.6	1.3
Chloroflexi	Thermomicrobia	unclassified	unclassified	unclassified	unclassified	9.4	1.5	4.6	8.8	4.1	3.4	14.3	2.1	5.8	1.5	10.8	7.1	7	2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. G03 78-21	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	unclassified	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. TS6	0	0	0.3	0	0	0.2	0.1	0	0.7	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Nguyenibacter	unclassified	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. A24	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Dethiosulfatarculus	Dethiosulfatarculus sandiegensis	0.2	0	0	0	0.5	0	0	0	0	0	0	1.5	0	0
